Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Mainland China,2020-03-04T23:23:01,418,8,297,40.1824,116.4142
Mainland China,2020-03-05T06:23:06,339,3,303,31.201999999999998,121.4491
Mainland China,2020-03-05T14:53:03,318,6,304,38.0428,114.5149
Mainland China,2020-03-05T09:33:03,296,1,277,26.0789,117.9874
Mainland China,2020-03-05T10:03:08,252,2,214,23.8298,108.7881
Mainland China,2020-03-05T06:03:08,245,1,224,35.1917,108.8701
Mainland China,2020-03-03T03:43:02,174,2,169,24.974,101.48700000000001
Mainland China,2020-03-05T06:13:10,168,6,158,19.1959,109.7453
Mainland China,2020-03-02T01:13:06,146,2,114,26.8154,106.8748
Mainland China,2020-03-05T03:33:27,136,3,128,39.3054,117.323
Mainland China,2020-03-05T14:53:03,133,0,126,37.5777,112.2922
Mainland China,2020-03-03T14:33:03,125,1,106,41.2956,122.6085
Singapore,2020-03-05T13:43:04,117,0,78,1.2833,103.8333
UK,2020-03-05T18:03:03,115,1,8,55.0,-3.0
Mainland China,2020-03-05T15:13:13,102,2,87,36.0611,103.8343
Mainland China,2020-03-05T14:53:03,93,1,88,43.6661,126.1923
Mainland China,2020-03-05T06:03:08,76,3,70,41.1129,85.2401
Mainland China,2020-03-05T23:53:01,75,1,65,44.0935,113.9448
Mainland China,2020-03-04T01:33:07,75,0,69,37.2692,106.1655
US,2020-03-05T22:03:17,51,10,1,47.548,-121.9836
US,2020-03-02T19:53:03,45,0,0,35.4437,139.638
India,2020-03-05T13:53:03,30,0,3,21.0,78.0
US,2020-03-05T22:53:03,20,0,1,37.3541,-121.9552
Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956
US,2020-03-05T20:23:07,18,1,0,48.033,-121.8339
US,2020-03-05T21:33:03,18,0,0,41.122,-73.7949
US,2020-03-05T21:03:14,11,0,0,34.0522,-118.2437
US,2020-03-05T18:33:03,5,0,2,41.7377,-87.6976
US,2020-03-05T21:03:13,4,0,0,40.7128,-74.006
New Zealand,2020-03-04T20:13:11,3,0,0,-40.9006,174.886
US,2020-03-04T02:13:11,3,0,0,33.7879,-117.8531
US,2020-03-05T20:33:03,3,0,1,32.7157,-117.1611
US,2020-03-05T21:03:12,2,0,0,40.9263,-74.077
US,2020-03-03T03:33:02,2,0,0,33.8034,-84.3963
US,2020-03-03T23:33:03,2,0,0,43.9088,-71.82600000000001
US,2020-03-05T21:53:02,2,0,0,29.7752,-95.3103
US,2020-03-03T18:33:02,2,0,0,27.9904,-82.3018
US,2020-03-04T19:53:02,2,1,0,39.0916,-120.8039
US,2020-03-02T03:43:02,2,0,0,41.824,-71.4128
US,2020-02-27T20:33:02,2,0,0,38.4747,-121.3542
US,2020-02-03T03:53:02,2,0,0,36.5761,-120.9876
US,2020-03-05T20:33:03,2,0,0,37.7749,-122.4194
US,2020-03-03T00:43:02,2,0,0,37.563,-122.3255
US,2020-03-03T03:03:02,2,0,0,45.547,-123.1386
Mainland China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924
US,2020-03-03T14:33:03,1,0,0,42.1767,-71.1449
US,2020-03-03T23:53:03,1,0,0,37.8715,-122.273
US,2020-02-28T21:13:12,1,0,1,42.3601,-71.0589
US,2020-03-05T20:53:03,1,0,0,36.0796,-115.094
US,2020-03-04T04:23:05,1,0,0,37.8534,-121.9018
US,2020-03-05T01:16:59,1,0,0,29.5693,-95.8143
US,2020-03-05T20:23:07,1,0,0,47.1981,-119.3732
US,2020-02-21T05:13:09,1,0,0,40.745,-123.8695
US,2020-03-03T15:53:03,1,0,1,43.0731,-89.4012
US,2020-03-03T17:33:02,1,0,0,33.2918,-112.4291
US,2020-03-05T21:43:02,1,0,0,40.7282,-73.7949
US,2020-02-13T18:53:02,1,0,0,29.4241,-98.4936
US,2020-03-05T20:03:03,1,0,0,30.769000000000002,-86.9824
US,2020-03-02T03:23:06,1,0,0,27.3364,-82.5307
US,2020-03-02T20:53:02,1,0,0,38.578,-122.9888
US,2020-02-25T21:23:03,1,0,1,33.4255,-111.94
US,2020-03-02T20:23:16,1,0,0,45.775,-118.7606
US,2020-03-03T20:53:02,1,0,0,35.8032,-78.5661
US,2020-03-05T23:33:03,1,0,0,35.9179,-86.8622
US,2020-02-24T23:33:02,0,0,0,29.3829,-98.6134
US,2020-02-24T23:33:02,0,0,0,41.2545,-95.9758
US,2020-02-24T23:33:02,0,0,0,38.2721,-121.9399
Mainland China,2020-03-06T14:23:04,67592,2931,42033,30.9756,112.2707
South Korea,2020-03-06T13:33:03,6593,42,135,36.0,128.0
Iran,2020-03-06T12:23:04,4747,124,913,32.0,53.0
Italy,2020-03-06T17:33:03,4636,197,523,43.0,12.0
Mainland China,2020-03-06T12:53:03,1352,7,1216,23.3417,113.4244
Mainland China,2020-03-06T12:43:03,1272,22,1244,33.882,113.61399999999999
Mainland China,2020-03-06T10:23:03,1215,1,1147,29.1832,120.0934
Mainland China,2020-03-06T11:03:10,1018,4,955,27.6104,111.7088
