Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Gansu,Mainland China,01/31/2020,29.0,,
Ningxia,Mainland China,01/31/2020,21.0,,
Inner Mongolia,Mainland China,01/31/2020,20.0,,1.0
Xinjiang,Mainland China,01/31/2020,17.0,,
Jilin,Mainland China,01/31/2020,14.0,,1.0
Hong Kong,Hong Kong,01/31/2020,12.0,,
Taiwan,Taiwan,01/31/2020,10.0,,
Qinghai,Mainland China,01/31/2020,8.0,,
Macau,Macau,01/31/2020,7.0,,
Tibet,Mainland China,01/31/2020,1.0,,
,Thailand,01/31/2020,19.0,,5.0
,Japan,01/31/2020,15.0,,1.0
,Singapore,01/31/2020,13.0,,
,South Korea,01/31/2020,11.0,,
,Malaysia,01/31/2020,8.0,,
,France,01/31/2020,5.0,,
Bavaria,Germany,01/31/2020,5.0,,
New South Wales,Australia,01/31/2020,4.0,,2.0
,United Arab Emirates,01/31/2020,4.0,,
Victoria,Australia,01/31/2020,3.0,,
IL,US,01/31/2020,2.0,,
CA,US,01/31/2020,2.0,,
,Vietnam,01/31/2020,2.0,,
Ontario,Canada,01/31/2020,2.0,,
Queensland,Australia,01/31/2020,2.0,,
,Italy,01/31/2020,2.0,,
,UK,01/31/2020,2.0,,
,Russia,01/31/2020,2.0,,
WA,US,01/31/2020,1.0,,
AZ,US,01/31/2020,1.0,,
,Nepal,01/31/2020,1.0,,
British Columbia,Canada,01/31/2020,1.0,,
,Cambodia,01/31/2020,1.0,,
,Sri Lanka,01/31/2020,1.0,,
,Finland,01/31/2020,1.0,,
,Philippines,01/31/2020,1.0,,
,India,01/31/2020,1.0,,
,Sweden,01/31/2020,1.0,,
ei,Mainland China,02/01/2020,7153.0,249.0,168.0
ng,Mainland China,02/01/2020,599.0,0.0,21.0
ng,Mainland China,02/01/2020,535.0,0.0,14.0
an,Mainland China,02/01/2020,422.0,2.0,3.0
an,Mainland China,02/01/2020,389.0,0.0,8.0
ui,Mainland China,02/01/2020,297.0,0.0,5.0
xi,Mainland China,02/01/2020,286.0,0.0,9.0
ng,Mainland China,02/01/2020,247.0,1.0,3.0
an,Mainland China,02/01/2020,207.0,1.0,3.0
ng,Mainland China,02/01/2020,206.0,0.0,3.0
su,Mainland China,02/01/2020,202.0,0.0,6.0
ai,Mainland China,02/01/2020,169.0,1.0,10.0
ng,Mainland China,02/01/2020,168.0,1.0,9.0
an,Mainland China,02/01/2020,144.0,0.0,0.0
xi,Mainland China,02/01/2020,101.0,0.0,0.0
xi,Mainland China,02/01/2020,100.0,0.0,2.0
ei,Mainland China,02/01/2020,96.0,1.0,0.0
an,Mainland China,02/01/2020,93.0,0.0,2.0
ng,Mainland China,02/01/2020,80.0,2.0,2.0
ng,Mainland China,02/01/2020,64.0,0.0,1.0
an,Mainland China,02/01/2020,62.0,1.0,1.0
xi,Mainland China,02/01/2020,47.0,0.0,1.0
in,Mainland China,02/01/2020,41.0,0.0,0.0
su,Mainland China,02/01/2020,40.0,0.0,0.0
ia,Mainland China,02/01/2020,26.0,0.0,0.0
ia,Mainland China,02/01/2020,23.0,0.0,1.0
ne,Japan,02/01/2020,20.0,0.0,1.0
ng,Mainland China,02/01/2020,18.0,0.0,0.0
in,Mainland China,02/01/2020,17.0,0.0,1.0
ne,Singapore,02/01/2020,16.0,0.0,0.0
ng,Hong Kong,02/01/2020,13.0,0.0,0.0
ne,South Korea,02/01/2020,12.0,0.0,0.0
ai,Mainland China,02/01/2020,9.0,0.0,0.0
ne,Germany,02/01/2020,8.0,0.0,0.0
ne,France,02/01/2020,6.0,0.0,0.0
ne,Vietnam,02/01/2020,6.0,0.0,1.0
es,Australia,02/01/2020,4.0,0.0,2.0
ia,Australia,02/01/2020,4.0,0.0,0.0
nd,Australia,02/01/2020,3.0,0.0,0.0
io,Canada,02/01/2020,3.0,0.0,0.0
ne,UK,02/01/2020,2.0,0.0,0.0
IL,US,02/01/2020,2.0,0.0,0.0
ia,Australia,02/01/2020,1.0,0.0,0.0
ia,Canada,02/01/2020,1.0,0.0,0.0
et,Mainland China,02/01/2020,1.0,0.0,0.0
ne,Philippines,02/01/2020,1.0,0.0,0.0
ne,Spain,02/01/2020,1.0,0.0,0.0
ne,Sweden,02/01/2020,1.0,0.0,0.0
MA,US,02/01/2020,1.0,0.0,0.0
CA,US,02/01/2020,1.0,0.0,0.0
CA,US,02/01/2020,1.0,0.0,0.0
CA,US,02/01/2020,1.0,0.0,0.0
WA,US,02/01/2020,1.0,0.0,0.0
AZ,US,02/01/2020,1.0,0.0,0.0
ei,Mainland China,02/02/2020,11177.0,350.0,295.0
ng,Mainland China,02/02/2020,661.0,0.0,32.0
ng,Mainland China,02/02/2020,632.0,0.0,15.0
an,Mainland China,02/02/2020,493.0,2.0,10.0
an,Mainland China,02/02/2020,463.0,0.0,16.0
ui,Mainland China,02/02/2020,340.0,0.0,7.0
xi,Mainland China,02/02/2020,333.0,0.0,12.0
ng,Mainland China,02/02/2020,300.0,2.0,7.0
su,Mainland China,02/02/2020,236.0,0.0,7.0
an,Mainland China,02/02/2020,231.0,1.0,11.0
ng,Mainland China,02/02/2020,230.0,0.0,6.0
ng,Mainland China,02/02/2020,191.0,1.0,9.0
ai,Mainland China,02/02/2020,182.0,1.0,10.0
an,Mainland China,02/02/2020,159.0,0.0,0.0
xi,Mainland China,02/02/2020,116.0,0.0,0.0
xi,Mainland China,02/02/2020,111.0,0.0,2.0
